"images","Metric","stick","value","predicted.Stickiness"
"Stickiness_0_001.png",93079951.6971103,0.001,68.2185084607593,-0.00437853715960779
"Stickiness_0_01.png",118471784.083297,0.01,76.962932893133,0.0134068508512971
"Stickiness_0_04.png",224686315.884103,0.04,105.989405633298,0.0478372910870073
"Stickiness_0_05.png",228109480.45198,0.05,106.793744093042,0.0486005923956854
"Stickiness_0_2.png",468743550.393678,0.2,153.088228546149,0.204133696449576
"Stickiness_0_3.png",519743070.996346,0.3,161.201284911456,0.282617665347829
"Stickiness_0_4.png",578334177.234941,0.4,170.044885540825,0.399587286219218
"Stickiness_0_5.png",612730767.489227,0.5,175.028588019587,0.482663725940093
"Stickiness_0_7.png",716989590.276088,0.7,189.334854502408,0.805168865216652
"Stickiness_1_0.png",747631414.662105,1,193.338309054408,0.921362563652258
